id,diagram_type,source_file,instruction,input,output,text
ex-00011,activity,plantuml_activity_diagram_training.jsonl,"Create a PlantUML activity diagram with partitions showing a conductor, audience, and orchestra.",,"@startuml
partition Conductor {
  (*) --> ""Climbs on Platform""
  --> === S1 ===
  --> Bows
}
partition Audience #LightSkyBlue {
  === S1 === --> Applauds
}
partition Conductor {
  Bows --> === S2 ===
  --> WavesArmes
  Applauds --> === S2 ===
}
partition Orchestra #CCCCEE {
  WavesArmes --> Introduction
  --> ""Play music""
}
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram with partitions showing a conductor, audience, and orchestra.
PlantUML output:
@startuml
partition Conductor {
  (*) --> ""Climbs on Platform""
  --> === S1 ===
  --> Bows
}
partition Audience #LightSkyBlue {
  === S1 === --> Applauds
}
partition Conductor {
  Bows --> === S2 ===
  --> WavesArmes
  Applauds --> === S2 ===
}
partition Orchestra #CCCCEE {
  WavesArmes --> Introduction
  --> ""Play music""
}
@enduml"
ex-00012,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with custom colors and fonts using skinparam.,,"@startuml
skinparam backgroundColor #AAFFFF
skinparam activity {
  StartColor red
  BarColor SaddleBrown
  EndColor Silver
  BackgroundColor Peru
  BackgroundColor<< Begin >> Olive
  BorderColor Peru
  FontName Impact
}
(*) --> ""Climbs on Platform"" << Begin >>
--> === S1 ===
--> Bows
--> === S2 ===
--> WavesArmes
--> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with custom colors and fonts using skinparam.
PlantUML output:
@startuml
skinparam backgroundColor #AAFFFF
skinparam activity {
  StartColor red
  BarColor SaddleBrown
  EndColor Silver
  BackgroundColor Peru
  BackgroundColor<< Begin >> Olive
  BorderColor Peru
  FontName Impact
}
(*) --> ""Climbs on Platform"" << Begin >>
--> === S1 ===
--> Bows
--> === S2 ===
--> WavesArmes
--> (*)
@enduml"
ex-00013,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram with octagon-shaped activities instead of rounded boxes.,,"@startuml
skinparam activityShape octagon
(*) --> ""First Action""
""First Action"" --> (*)
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram with octagon-shaped activities instead of rounded boxes.
PlantUML output:
@startuml
skinparam activityShape octagon
(*) --> ""First Action""
""First Action"" --> (*)
@enduml"
ex-00014,activity,plantuml_activity_diagram_training.jsonl,Generate a simple PlantUML activity diagram with the starting point forced to the top.,,"@startuml
(*top) --> ""First Action""
""First Action"" --> (*)
@enduml","Diagram type: activity
Instruction: Generate a simple PlantUML activity diagram with the starting point forced to the top.
PlantUML output:
@startuml
(*top) --> ""First Action""
""First Action"" --> (*)
@enduml"
ex-00015,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram showing a login process with authentication branch.,,"@startuml
(*) --> ""Enter credentials""
if ""Valid credentials?"" then
  -->[yes] ""Grant access""
  --> (*)
else
  -->[no] ""Show error""
  --> ""Enter credentials""
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram showing a login process with authentication branch.
PlantUML output:
@startuml
(*) --> ""Enter credentials""
if ""Valid credentials?"" then
  -->[yes] ""Grant access""
  --> (*)
else
  -->[no] ""Show error""
  --> ""Enter credentials""
endif
@enduml"
ex-00016,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram for a file upload process with validation.,,"@startuml
(*) --> ""Select file""
--> ""Upload file""
if ""File valid?"" then
  -->[yes] ""Process file""
  --> ""Save to database""
  --> (*)
else
  -->[no] ""Show validation error""
  --> (*)
endif
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram for a file upload process with validation.
PlantUML output:
@startuml
(*) --> ""Select file""
--> ""Upload file""
if ""File valid?"" then
  -->[yes] ""Process file""
  --> ""Save to database""
  --> (*)
else
  -->[no] ""Show validation error""
  --> (*)
endif
@enduml"
ex-00017,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram with three parallel processes that synchronize before completion.,,"@startuml
(*) --> ===START===
===START=== --> ""Process A""
===START=== --> ""Process B""
===START=== --> ""Process C""
""Process A"" --> ===END===
""Process B"" --> ===END===
""Process C"" --> ===END===
===END=== --> (*)
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram with three parallel processes that synchronize before completion.
PlantUML output:
@startuml
(*) --> ===START===
===START=== --> ""Process A""
===START=== --> ""Process B""
===START=== --> ""Process C""
""Process A"" --> ===END===
""Process B"" --> ===END===
""Process C"" --> ===END===
===END=== --> (*)
@enduml"
ex-00018,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with a partition for user actions and another for system actions.,,"@startuml
partition User {
  (*) --> ""Click button""
  --> ""Fill form""
}
partition System #lightblue {
  ""Fill form"" --> ""Validate input""
  --> ""Save data""
  --> (*)
}
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with a partition for user actions and another for system actions.
PlantUML output:
@startuml
partition User {
  (*) --> ""Click button""
  --> ""Fill form""
}
partition System #lightblue {
  ""Fill form"" --> ""Validate input""
  --> ""Save data""
  --> (*)
}
@enduml"
ex-00019,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram for an order processing workflow with multiple decision points.,,"@startuml
(*) --> ""Receive order""
if ""In stock?"" then
  -->[yes] ""Process payment""
  if ""Payment successful?"" then
    -->[yes] ""Ship order""
    --> (*)
  else
    -->[no] ""Cancel order""
    --> (*)
  endif
else
  -->[no] ""Notify customer""
  --> (*)
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram for an order processing workflow with multiple decision points.
PlantUML output:
@startuml
(*) --> ""Receive order""
if ""In stock?"" then
  -->[yes] ""Process payment""
  if ""Payment successful?"" then
    -->[yes] ""Ship order""
    --> (*)
  else
    -->[no] ""Cancel order""
    --> (*)
  endif
else
  -->[no] ""Notify customer""
  --> (*)
endif
@enduml"
ex-00020,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with custom arrow labels and directional controls.,,"@startuml
(*) --> ""Initialize""
-->[Setup complete] ""Start processing""
-right->[Branch A] ""Action A""
-down-> ""Merge point""
""Start processing"" -left->[Branch B] ""Action B""
-down-> ""Merge point""
""Merge point"" --> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with custom arrow labels and directional controls.
PlantUML output:
@startuml
(*) --> ""Initialize""
-->[Setup complete] ""Start processing""
-right->[Branch A] ""Action A""
-down-> ""Merge point""
""Start processing"" -left->[Branch B] ""Action B""
-down-> ""Merge point""
""Merge point"" --> (*)
@enduml"
ex-00021,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram showing a loop structure for retry logic.,,"@startuml
(*) --> ""Attempt connection""
if ""Connection successful?"" then
  -->[yes] ""Execute task""
  --> (*)
else
  -->[no] ""Increment retry count""
  if ""Max retries reached?"" then
    -->[yes] ""Report failure""
    --> (*)
  else
    -->[no] ""Attempt connection""
  endif
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram showing a loop structure for retry logic.
PlantUML output:
@startuml
(*) --> ""Attempt connection""
if ""Connection successful?"" then
  -->[yes] ""Execute task""
  --> (*)
else
  -->[no] ""Increment retry count""
  if ""Max retries reached?"" then
    -->[yes] ""Report failure""
    --> (*)
  else
    -->[no] ""Attempt connection""
  endif
endif
@enduml"
ex-00022,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with a note on the starting point.,,"@startuml
note right of (*)
  This is the starting point
  of the activity diagram
end note
(*) --> ""First action""
--> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with a note on the starting point.
PlantUML output:
@startuml
note right of (*)
  This is the starting point
  of the activity diagram
end note
(*) --> ""First action""
--> (*)
@enduml"
ex-00023,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram demonstrating all arrow directions in a circular pattern.,,"@startuml
(*) -down-> ""Action 1""
-right-> ""Action 2""
-up-> ""Action 3""
-left-> ""Action 4""
-down-> (*)
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram demonstrating all arrow directions in a circular pattern.
PlantUML output:
@startuml
(*) -down-> ""Action 1""
-right-> ""Action 2""
-up-> ""Action 3""
-left-> ""Action 4""
-down-> (*)
@enduml"
ex-00024,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with stereotyped activities and custom styling.,,"@startuml
skinparam activity {
  BackgroundColor<< Important >> Red
  BackgroundColor<< Optional >> LightGray
}
(*) --> ""Critical task"" << Important >>
--> ""Optional task"" << Optional >>
--> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with stereotyped activities and custom styling.
PlantUML output:
@startuml
skinparam activity {
  BackgroundColor<< Important >> Red
  BackgroundColor<< Optional >> LightGray
}
(*) --> ""Critical task"" << Important >>
--> ""Optional task"" << Optional >>
--> (*)
@enduml"
ex-00025,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram showing data processing with transformation steps.,,"@startuml
(*) --> ""Load data""
--> ""Clean data""
--> ""Transform data""
--> ""Validate results""
if ""Valid?"" then
  -->[yes] ""Save output""
  --> (*)
else
  -->[no] ""Log errors""
  --> ""Clean data""
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram showing data processing with transformation steps.
PlantUML output:
@startuml
(*) --> ""Load data""
--> ""Clean data""
--> ""Transform data""
--> ""Validate results""
if ""Valid?"" then
  -->[yes] ""Save output""
  --> (*)
else
  -->[no] ""Log errors""
  --> ""Clean data""
endif
@enduml"
ex-00026,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with multiple partitions and colored backgrounds.,,"@startuml
partition Frontend #FFE6E6 {
  (*) --> ""User input""
}
partition Backend #E6F3FF {
  ""User input"" --> ""Validate data""
  --> ""Process request""
}
partition Database #E6FFE6 {
  ""Process request"" --> ""Store data""
  --> (*)
}
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with multiple partitions and colored backgrounds.
PlantUML output:
@startuml
partition Frontend #FFE6E6 {
  (*) --> ""User input""
}
partition Backend #E6F3FF {
  ""User input"" --> ""Validate data""
  --> ""Process request""
}
partition Database #E6FFE6 {
  ""Process request"" --> ""Store data""
  --> (*)
}
@enduml"
ex-00027,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram for a deployment pipeline with stages.,,"@startuml
(*) --> ""Build code""
if ""Build successful?"" then
  -->[yes] ===TEST===
  ===TEST=== --> ""Unit tests""
  ===TEST=== --> ""Integration tests""
  ""Unit tests"" --> ===DEPLOY===
  ""Integration tests"" --> ===DEPLOY===
  ===DEPLOY=== --> ""Deploy to production""
  --> (*)
else
  -->[no] ""Notify developers""
  --> (*)
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram for a deployment pipeline with stages.
PlantUML output:
@startuml
(*) --> ""Build code""
if ""Build successful?"" then
  -->[yes] ===TEST===
  ===TEST=== --> ""Unit tests""
  ===TEST=== --> ""Integration tests""
  ""Unit tests"" --> ===DEPLOY===
  ""Integration tests"" --> ===DEPLOY===
  ===DEPLOY=== --> ""Deploy to production""
  --> (*)
else
  -->[no] ""Notify developers""
  --> (*)
endif
@enduml"
ex-00028,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with an action that has an embedded image reference.,,"@startuml
(*) --> ""View dashboard""
--> ""Generate report <img:chart.png>""
--> ""Send email""
--> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with an action that has an embedded image reference.
PlantUML output:
@startuml
(*) --> ""View dashboard""
--> ""Generate report <img:chart.png>""
--> ""Send email""
--> (*)
@enduml"
ex-00029,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram showing exception handling flow.,,"@startuml
(*) --> ""Execute operation""
if ""Exception occurred?"" then
  -->[yes] ""Log error""
  --> ""Rollback changes""
  if ""Retry allowed?"" then
    -->[yes] ""Execute operation""
  else
    -->[no] ""Terminate""
    --> (*)
  endif
else
  -->[no] ""Commit changes""
  --> (*)
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram showing exception handling flow.
PlantUML output:
@startuml
(*) --> ""Execute operation""
if ""Exception occurred?"" then
  -->[yes] ""Log error""
  --> ""Rollback changes""
  if ""Retry allowed?"" then
    -->[yes] ""Execute operation""
  else
    -->[no] ""Terminate""
    --> (*)
  endif
else
  -->[no] ""Commit changes""
  --> (*)
endif
@enduml"
ex-00030,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with detailed notes explaining each step.,,"@startuml
(*) --> ""Initialize system""
note right
  Load configuration
  Connect to database
  Initialize services
end note
--> ""Start main loop""
note left: Process incoming requests
--> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with detailed notes explaining each step.
PlantUML output:
@startuml
(*) --> ""Initialize system""
note right
  Load configuration
  Connect to database
  Initialize services
end note
--> ""Start main loop""
note left: Process incoming requests
--> (*)
@enduml"
ex-00031,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram for user registration with email verification.,,"@startuml
(*) --> ""Enter registration details""
--> ""Submit form""
if ""Valid data?"" then
  -->[yes] ""Create account""
  --> ""Send verification email""
  if ""Email verified?"" then
    -->[yes] ""Activate account""
    --> (*)
  else
    -->[no] ""Wait for verification""
    --> (*)
  endif
else
  -->[no] ""Show validation errors""
  --> (*)
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram for user registration with email verification.
PlantUML output:
@startuml
(*) --> ""Enter registration details""
--> ""Submit form""
if ""Valid data?"" then
  -->[yes] ""Create account""
  --> ""Send verification email""
  if ""Email verified?"" then
    -->[yes] ""Activate account""
    --> (*)
  else
    -->[no] ""Wait for verification""
    --> (*)
  endif
else
  -->[no] ""Show validation errors""
  --> (*)
endif
@enduml"
ex-00032,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram showing concurrent API calls with synchronization.,,"@startuml
(*) --> ""Receive request""
--> ===SPLIT===
===SPLIT=== --> ""Call API 1""
===SPLIT=== --> ""Call API 2""
===SPLIT=== --> ""Call API 3""
""Call API 1"" --> ===JOIN===
""Call API 2"" --> ===JOIN===
""Call API 3"" --> ===JOIN===
===JOIN=== --> ""Aggregate results""
--> ""Return response""
--> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram showing concurrent API calls with synchronization.
PlantUML output:
@startuml
(*) --> ""Receive request""
--> ===SPLIT===
===SPLIT=== --> ""Call API 1""
===SPLIT=== --> ""Call API 2""
===SPLIT=== --> ""Call API 3""
""Call API 1"" --> ===JOIN===
""Call API 2"" --> ===JOIN===
""Call API 3"" --> ===JOIN===
===JOIN=== --> ""Aggregate results""
--> ""Return response""
--> (*)
@enduml"
ex-00033,activity,plantuml_activity_diagram_training.jsonl,"Create a PlantUML activity diagram with an action using formatted text including size, bold, and color.",,"@startuml
(*) --> ""<size:18>Important</size> step\nwith <b>bold</b> and <color:blue>colored</color> text""
--> ""Next step""
--> (*)
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram with an action using formatted text including size, bold, and color.
PlantUML output:
@startuml
(*) --> ""<size:18>Important</size> step\nwith <b>bold</b> and <color:blue>colored</color> text""
--> ""Next step""
--> (*)
@enduml"
ex-00034,activity_legacy,plantuml_activity_legacy_training.jsonl,Create a simple PlantUML activity diagram with a single action.,,"@startuml
(*) --> ""First Action""
""First Action"" --> (*)
@enduml","Diagram type: activity_legacy
Instruction: Create a simple PlantUML activity diagram with a single action.
PlantUML output:
@startuml
(*) --> ""First Action""
""First Action"" --> (*)
@enduml"
ex-00035,activity_legacy,plantuml_activity_legacy_training.jsonl,Generate a PlantUML activity diagram that starts from the top of the diagram.,,"@startuml
(*top) --> ""First Action""
""First Action"" --> (*)
@enduml","Diagram type: activity_legacy
Instruction: Generate a PlantUML activity diagram that starts from the top of the diagram.
PlantUML output:
@startuml
(*top) --> ""First Action""
""First Action"" --> (*)
@enduml"
ex-00036,activity_legacy,plantuml_activity_legacy_training.jsonl,Create a PlantUML activity diagram with labeled arrows between actions.,,"@startuml
(*) --> ""First Action""
-->[You can put also labels] ""Second Action""
--> (*)
@enduml","Diagram type: activity_legacy
Instruction: Create a PlantUML activity diagram with labeled arrows between actions.
PlantUML output:
@startuml
(*) --> ""First Action""
-->[You can put also labels] ""Second Action""
--> (*)
@enduml"
ex-00037,activity_legacy,plantuml_activity_legacy_training.jsonl,Design a PlantUML activity diagram showing directional arrows in different orientations.,,"@startuml
(*) -up-> ""First Action""
-right-> ""Second Action""
--> ""Third Action""
-left-> (*)
@enduml","Diagram type: activity_legacy
Instruction: Design a PlantUML activity diagram showing directional arrows in different orientations.
PlantUML output:
@startuml
(*) -up-> ""First Action""
-right-> ""Second Action""
--> ""Third Action""
-left-> (*)
@enduml"
ex-00038,activity_legacy,plantuml_activity_legacy_training.jsonl,Create a PlantUML activity diagram with a conditional branch using if/then/else.,,"@startuml
(*) --> ""Initialization""
if ""Some Test"" then
-->[true] ""Some Action""
--> ""Another Action""
-right-> (*)
else
->[false] ""Something else""
-->[Ending process] (*)
endif
@enduml","Diagram type: activity_legacy
Instruction: Create a PlantUML activity diagram with a conditional branch using if/then/else.
PlantUML output:
@startuml
(*) --> ""Initialization""
if ""Some Test"" then
-->[true] ""Some Action""
--> ""Another Action""
-right-> (*)
else
->[false] ""Something else""
-->[Ending process] (*)
endif
@enduml"
ex-00039,activity_legacy,plantuml_activity_legacy_training.jsonl,Generate a PlantUML activity diagram with a simple if statement that handles verbose input.,,"@startuml
(*) --> ""check input""
If ""input is verbose"" then
--> [Yes] ""turn on verbosity""
--> ""run command""
else
--> ""run command""
Endif
-->(*)
@enduml","Diagram type: activity_legacy
Instruction: Generate a PlantUML activity diagram with a simple if statement that handles verbose input.
PlantUML output:
@startuml
(*) --> ""check input""
If ""input is verbose"" then
--> [Yes] ""turn on verbosity""
--> ""run command""
else
--> ""run command""
Endif
-->(*)
@enduml"
ex-00040,activity_legacy,plantuml_activity_legacy_training.jsonl,Create a complex PlantUML activity diagram with nested branches and multiple conditions.,,"@startuml
(*) --> if ""Some Test"" then
-->[true] ""action 1""
if """" then
-> ""action 3"" as a3
else
if ""Other test"" then
-left-> ""action 5""
else
--> ""action 6""
endif
endif
else
->[false] ""action 2""
endif
a3 --> if ""last test"" then
--> ""action 7""
else
-> ""action 8""
endif
@enduml","Diagram type: activity_legacy
Instruction: Create a complex PlantUML activity diagram with nested branches and multiple conditions.
PlantUML output:
@startuml
(*) --> if ""Some Test"" then
-->[true] ""action 1""
if """" then
-> ""action 3"" as a3
else
if ""Other test"" then
-left-> ""action 5""
else
--> ""action 6""
endif
endif
else
->[false] ""action 2""
endif
a3 --> if ""last test"" then
--> ""action 7""
else
-> ""action 8""
endif
@enduml"
ex-00041,activity_legacy,plantuml_activity_legacy_training.jsonl,Design a PlantUML activity diagram showing parallel actions with synchronization bars.,,"@startuml
(*) --> ===B1===
--> ""Parallel Action 1""
--> ===B2===
===B1=== --> ""Parallel Action 2""
--> ===B2===
--> (*)
@enduml","Diagram type: activity_legacy
Instruction: Design a PlantUML activity diagram showing parallel actions with synchronization bars.
PlantUML output:
@startuml
(*) --> ===B1===
--> ""Parallel Action 1""
--> ===B2===
===B1=== --> ""Parallel Action 2""
--> ===B2===
--> (*)
@enduml"
ex-00042,activity_legacy,plantuml_activity_legacy_training.jsonl,Create a PlantUML activity diagram with a multi-line action description and alias.,,"@startuml
(*) -left-> ""this <size:20>action</size>
is <b>very</b> <color:red>long2</color>
and defined on several lines
that contains many <i>text</i>"" as A1
-up-> ""Another action\n on several lines""
A1 --> ""Short action <img:sourceforge.jpg>""
@enduml","Diagram type: activity_legacy
Instruction: Create a PlantUML activity diagram with a multi-line action description and alias.
PlantUML output:
@startuml
(*) -left-> ""this <size:20>action</size>
is <b>very</b> <color:red>long2</color>
and defined on several lines
that contains many <i>text</i>"" as A1
-up-> ""Another action\n on several lines""
A1 --> ""Short action <img:sourceforge.jpg>""
@enduml"
ex-00043,activity_legacy,plantuml_activity_legacy_training.jsonl,Generate a PlantUML activity diagram with notes attached to an action.,,"@startuml
(*) --> ""Some action""
note right: This action has to be defined
""Some action"" --> (*)
note left
This note is on
several lines
end note
@enduml","Diagram type: activity_legacy
Instruction: Generate a PlantUML activity diagram with notes attached to an action.
PlantUML output:
@startuml
(*) --> ""Some action""
note right: This action has to be defined
""Some action"" --> (*)
note left
This note is on
several lines
end note
@enduml"
ex-00044,activity_legacy,plantuml_activity_legacy_training.jsonl,Create a PlantUML activity diagram with multiple partitions representing different actors.,,"@startuml
partition Conductor {
(*) --> ""Climbs on Platform""
--> === S1 ===
--> Bows
}
partition Audience #LightSkyBlue {
=== S1 === --> Applauds
}
partition Conductor {
Bows --> === S2 ===
--> WavesArmes
Applauds --> === S2 ===
}
partition Orchestra #CCCCEE {
WavesArmes --> Introduction
--> ""Play music""
}
@enduml","Diagram type: activity_legacy
Instruction: Create a PlantUML activity diagram with multiple partitions representing different actors.
PlantUML output:
@startuml
partition Conductor {
(*) --> ""Climbs on Platform""
--> === S1 ===
--> Bows
}
partition Audience #LightSkyBlue {
=== S1 === --> Applauds
}
partition Conductor {
Bows --> === S2 ===
--> WavesArmes
Applauds --> === S2 ===
}
partition Orchestra #CCCCEE {
WavesArmes --> Introduction
--> ""Play music""
}
@enduml"
ex-00045,activity_legacy,plantuml_activity_legacy_training.jsonl,Design a PlantUML activity diagram with custom colors and fonts using skinparam.,,"@startuml
skinparam backgroundColor #AAFFFF
skinparam activity {
StartColor red
BarColor SaddleBrown
EndColor Silver
BackgroundColor Peru
BackgroundColor<< Begin >> Olive
BorderColor Peru
FontName Impact
}
(*) --> ""Climbs on Platform"" << Begin >>
--> === S1 ===
--> Bows
--> === S2 ===
--> WavesArmes
--> (*)
@enduml","Diagram type: activity_legacy
Instruction: Design a PlantUML activity diagram with custom colors and fonts using skinparam.
PlantUML output:
@startuml
skinparam backgroundColor #AAFFFF
skinparam activity {
StartColor red
BarColor SaddleBrown
EndColor Silver
BackgroundColor Peru
BackgroundColor<< Begin >> Olive
BorderColor Peru
FontName Impact
}
(*) --> ""Climbs on Platform"" << Begin >>
--> === S1 ===
--> Bows
--> === S2 ===
--> WavesArmes
--> (*)
@enduml"
